Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40911,2024-11-05 12:00:36,2024-11-05 05:00:36-07:00,2024-11-05 12:01:11,2024-11-05 05:01:11-07:00,Iridium,46.74707,-113.95718,1572,2.4,3D Valid,Nothing Detected,10,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 11:00:16,2024-11-05 04:00:16-07:00,2024-11-05 12:01:11,2024-11-05 05:01:11-07:00,Iridium,46.74688,-113.95713,1640,2,3D Valid,Nothing Detected,11,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 10:00:38,2024-11-05 03:00:38-07:00,2024-11-05 12:01:11,2024-11-05 05:01:11-07:00,Iridium,46.74707,-113.95720,1566,2,3D Valid,Nothing Detected,11,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 09:00:10,2024-11-05 02:00:10-07:00,2024-11-05 12:01:11,2024-11-05 05:01:11-07:00,Iridium,46.74670,-113.95694,1610,4,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40911
40911,2024-11-05 08:00:38,2024-11-05 01:00:38-07:00,2024-11-05 08:01:29,2024-11-05 01:01:29-07:00,Iridium,46.74706,-113.95724,1578,5,3D Valid,Nothing Detected,8,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 07:00:11,2024-11-05 00:00:11-07:00,2024-11-05 08:01:29,2024-11-05 01:01:29-07:00,Iridium,46.74719,-113.95727,1578,3.2,3D Valid,Nothing Detected,8,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 06:00:38,2024-11-04 23:00:38-07:00,2024-11-05 08:01:29,2024-11-05 01:01:29-07:00,Iridium,46.74603,-113.95766,1587,2.2,3D Valid,Nothing Detected,11,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 05:00:45,2024-11-04 22:00:45-07:00,2024-11-05 08:01:29,2024-11-05 01:01:29-07:00,Iridium,46.74447,-113.95545,1547,3.2,3D Valid,Nothing Detected,14,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 04:02:04,2024-11-04 21:02:04-07:00,2024-11-05 08:01:37,2024-11-05 01:01:37-07:00,Iridium,46.74451,-113.95368,1493,5.4,3D Valid,Nothing Detected,13,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 03:00:16,2024-11-04 20:00:16-07:00,2024-11-05 08:01:37,2024-11-05 01:01:37-07:00,Iridium,46.74431,-113.95280,1489,2.2,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 02:00:09,2024-11-04 19:00:09-07:00,2024-11-05 08:01:37,2024-11-05 01:01:37-07:00,Iridium,46.74440,-113.95291,1486,2,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 01:00:38,2024-11-04 18:00:38-07:00,2024-11-05 08:01:37,2024-11-05 01:01:37-07:00,Iridium,46.74441,-113.95358,1492,2.8,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40911
40911,2024-11-05 00:00:12,2024-11-04 17:00:12-07:00,2024-11-05 08:01:47,2024-11-05 01:01:47-07:00,Iridium,46.74511,-113.95469,1491,2.6,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 23:00:10,2024-11-04 16:00:10-07:00,2024-11-05 08:01:47,2024-11-05 01:01:47-07:00,Iridium,46.74589,-113.95469,1469,2.8,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 22:00:37,2024-11-04 15:00:37-07:00,2024-11-05 08:01:47,2024-11-05 01:01:47-07:00,Iridium,46.74599,-113.95386,1443,2.6,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 21:00:17,2024-11-04 14:00:17-07:00,2024-11-05 08:01:47,2024-11-05 01:01:47-07:00,Iridium,46.74595,-113.95409,1469,4.8,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 20:00:36,2024-11-04 13:00:36-07:00,2024-11-05 08:02:16,2024-11-05 01:02:16-07:00,Iridium,46.74562,-113.95426,1457,4.8,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 19:00:36,2024-11-04 12:00:36-07:00,2024-11-05 08:02:16,2024-11-05 01:02:16-07:00,Iridium,46.74569,-113.95385,1439,5.2,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 18:00:37,2024-11-04 11:00:37-07:00,2024-11-05 08:02:16,2024-11-05 01:02:16-07:00,Iridium,46.74576,-113.95391,1453,2.4,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 17:00:10,2024-11-04 10:00:10-07:00,2024-11-05 08:02:16,2024-11-05 01:02:16-07:00,Iridium,46.74571,-113.95353,1436,3.8,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 16:00:38,2024-11-04 09:00:38-07:00,2024-11-05 08:03:07,2024-11-05 01:03:07-07:00,Iridium,46.74558,-113.95366,1439,5.6,3D Valid,Nothing Detected,12,3.44,3.6,Animal with Collar 40911
40911,2024-11-04 15:00:13,2024-11-04 08:00:13-07:00,2024-11-05 08:03:07,2024-11-05 01:03:07-07:00,Iridium,46.74513,-113.95357,1429,3.6,3D Valid,Nothing Detected,12,3.44,3.6,Animal with Collar 40911
