Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40887,2022-06-20 17:00:36,2022-06-20 11:00:36,2022-06-20 17:01:07,2022-06-20 11:01:07-06:00,Iridium,46.72261,-113.92883,1426,9.4,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 16:00:38,2022-06-20 10:00:38,2022-06-20 17:01:07,2022-06-20 11:01:07-06:00,Iridium,46.72254,-113.92873,1436,4,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 15:00:36,2022-06-20 9:00:36,2022-06-20 17:01:07,2022-06-20 11:01:07-06:00,Iridium,46.72258,-113.92875,1429,3.2,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 14:00:38,2022-06-20 8:00:38,2022-06-20 17:01:07,2022-06-20 11:01:07-06:00,Iridium,46.7226,-113.92873,1435,2.8,3D Validated,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 13:00:17,2022-06-20 7:00:17,2022-06-20 17:01:17,2022-06-20 11:01:17-06:00,Iridium,46.72255,-113.92887,1415,5,3D Validated,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 12:00:37,2022-06-20 6:00:37,2022-06-20 17:01:17,2022-06-20 11:01:17-06:00,Iridium,46.72256,-113.92874,1434,3.4,3D Validated,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 11:02:54,2022-06-20 5:02:54,2022-06-20 17:01:17,2022-06-20 11:01:17-06:00,Iridium,46.72258,-113.92876,1432,4.4,3D,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 10:00:38,2022-06-20 4:00:38,2022-06-20 17:01:17,2022-06-20 11:01:17-06:00,Iridium,46.72258,-113.92875,1429,4.2,3D Validated,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 9:00:38,2022-06-20 3:00:38,2022-06-20 17:01:27,2022-06-20 11:01:27-06:00,Iridium,46.72258,-113.92877,1435,4.8,3D Validated,Mortality No Radius,6,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 8:03:00,2022-06-20 2:03:00,2022-06-20 17:01:27,2022-06-20 11:01:27-06:00,Iridium,46.72257,-113.92875,1433,4.2,3D,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 7:00:15,2022-06-20 1:00:15,2022-06-20 17:01:27,2022-06-20 11:01:27-06:00,Iridium,46.72257,-113.9288,1414,3.6,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 6:00:37,2022-06-20 0:00:37,2022-06-20 17:01:27,2022-06-20 11:01:27-06:00,Iridium,46.72263,-113.92873,1424,5.6,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 5:04:38,2022-06-19 23:04:38,2022-06-20 17:01:40,2022-06-20 11:01:40-06:00,Iridium,46.72265,-113.9288,1436,3.6,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 4:34:59,2022-06-19 22:34:59,2022-06-20 17:01:40,2022-06-20 11:01:40-06:00,Iridium,46.7227,-113.9291,1411,3.6,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 4:04:36,2022-06-19 22:04:36,2022-06-20 17:01:40,2022-06-20 11:01:40-06:00,Iridium,46.72256,-113.92848,1448,3.6,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 3:34:38,2022-06-19 21:34:38,2022-06-20 3:35:03,2022-06-19 21:35:03-06:00,Iridium,46.72253,-113.9286,1451,5,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 3:05:00,2022-06-19 21:05:00,2022-06-20 3:35:03,2022-06-19 21:35:03-06:00,Iridium,46.72259,-113.92876,1425,6,3D Validated,Mortality No Radius,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 2:34:36,2022-06-19 20:34:36,2022-06-20 3:35:03,2022-06-19 21:35:03-06:00,Iridium,46.72254,-113.92876,1433,3.6,3D Validated,Mortality No Radius,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 2:04:34,2022-06-19 20:04:34,2022-06-20 3:35:03,2022-06-19 21:35:03-06:00,Iridium,46.72257,-113.92877,1428,3.8,3D Validated,Mortality No Radius,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 1:35:00,2022-06-19 19:35:00,2022-06-20 3:35:11,2022-06-19 21:35:11-06:00,Iridium,46.72261,-113.92876,1429,5.8,3D Validated,Mortality No Radius,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 1:04:38,2022-06-19 19:04:38,2022-06-20 1:05:28,2022-06-19 19:05:28-06:00,Iridium,46.72254,-113.92875,1430,3.6,3D Validated,Mortality No Radius,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 0:34:36,2022-06-19 18:34:36,2022-06-20 1:05:28,2022-06-19 19:05:28-06:00,Iridium,46.72253,-113.92881,1412,3.8,3D Validated,Mortality No Radius,11,3.28,3.6,Animal with Collar 40887
40887,2022-06-20 0:05:36,2022-06-19 18:05:36,2022-06-20 0:06:00,2022-06-19 18:06:00-06:00,Iridium,46.72262,-113.92876,1430,3.2,3D Validated,Mortality No Radius,11,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 23:00:36,2022-06-19 17:00:36,2022-06-19 23:37:24,2022-06-19 17:37:24-06:00,Iridium,46.72258,-113.92881,1434,5.4,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 21:00:15,2022-06-19 15:00:15,2022-06-19 23:37:24,2022-06-19 17:37:24-06:00,Iridium,46.72268,-113.92886,1426,4.6,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 20:01:38,2022-06-19 14:01:38,2022-06-19 23:37:56,2022-06-19 17:37:56-06:00,Iridium,46.72261,-113.92882,1435,3.8,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 19:00:12,2022-06-19 13:00:12,2022-06-19 23:37:56,2022-06-19 17:37:56-06:00,Iridium,46.72259,-113.92876,1425,5,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 18:00:36,2022-06-19 12:00:36,2022-06-19 23:37:56,2022-06-19 17:37:56-06:00,Iridium,46.72258,-113.92882,1432,4.2,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 17:01:30,2022-06-19 11:01:30,2022-06-19 23:37:56,2022-06-19 17:37:56-06:00,Iridium,46.7226,-113.92878,1429,9.6,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 16:00:37,2022-06-19 10:00:37,2022-06-19 23:38:12,2022-06-19 17:38:12-06:00,Iridium,46.72256,-113.92871,1434,2.8,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 15:03:00,2022-06-19 9:03:00,2022-06-19 23:38:12,2022-06-19 17:38:12-06:00,Iridium,46.72258,-113.92873,1424,3.6,3D,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 14:00:16,2022-06-19 8:00:16,2022-06-19 23:38:12,2022-06-19 17:38:12-06:00,Iridium,46.72258,-113.92891,1423,3.8,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 13:00:12,2022-06-19 7:00:12,2022-06-19 23:38:12,2022-06-19 17:38:12-06:00,Iridium,46.72255,-113.92876,1429,3.4,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 12:00:38,2022-06-19 6:00:38,2022-06-19 23:38:21,2022-06-19 17:38:21-06:00,Iridium,46.72258,-113.92876,1432,2.6,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 11:01:06,2022-06-19 5:01:06,2022-06-19 23:38:21,2022-06-19 17:38:21-06:00,Iridium,46.72257,-113.92873,1438,2.8,3D Validated,Nothing Detected,7,3.28,3.52,Animal with Collar 40887
40887,2022-06-19 10:00:38,2022-06-19 4:00:38,2022-06-19 23:38:21,2022-06-19 17:38:21-06:00,Iridium,46.72255,-113.92873,1430,4.4,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 9:00:38,2022-06-19 3:00:38,2022-06-19 23:38:21,2022-06-19 17:38:21-06:00,Iridium,46.72262,-113.92885,1428,4.8,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 8:01:38,2022-06-19 2:01:38,2022-06-19 23:38:31,2022-06-19 17:38:31-06:00,Iridium,46.72257,-113.92874,1436,6,3D,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 7:00:36,2022-06-19 1:00:36,2022-06-19 23:38:31,2022-06-19 17:38:31-06:00,Iridium,46.72262,-113.9288,1433,3.8,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 6:00:37,2022-06-19 0:00:37,2022-06-19 23:38:31,2022-06-19 17:38:31-06:00,Iridium,46.72262,-113.92882,1436,5.4,3D Validated,Nothing Detected,10,3.28,2.88,Animal with Collar 40887
40887,2022-06-19 5:00:27,2022-06-18 23:00:27,2022-06-19 23:38:31,2022-06-19 17:38:31-06:00,Iridium,46.72275,-113.92879,1450,4.2,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40887
40887,2022-06-19 4:01:36,2022-06-18 22:01:36,2022-06-19 23:38:40,2022-06-19 17:38:40-06:00,Iridium,46.72256,-113.92871,1434,2.8,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40887
