Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40908,2024-11-25 20:01:26,2024-11-25 13:01:26-07:00,2024-11-25 20:01:57,2024-11-25 13:01:57-07:00,Iridium,46.71759,-113.92567,1561,3.2,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40908
40908,2024-11-25 17:00:16,2024-11-25 10:00:16-07:00,2024-11-25 20:01:57,2024-11-25 13:01:57-07:00,Iridium,46.71764,-113.92559,1573,3,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40908
40908,2024-11-25 16:00:58,2024-11-25 09:00:58-07:00,2024-11-25 16:01:27,2024-11-25 09:01:27-07:00,Iridium,46.71756,-113.92545,1570,4.8,3D Valid,Nothing Detected,12,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 22:00:37,2024-11-21 15:00:37-07:00,2024-11-25 20:03:38,2024-11-25 13:03:38-07:00,Iridium,46.71757,-113.92538,1555,2,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40908
40908,2024-11-21 16:00:49,2024-11-21 09:00:49-07:00,2024-11-25 20:03:48,2024-11-25 13:03:48-07:00,Iridium,46.71760,-113.92539,1561,4.2,3D Valid,Nothing Detected,12,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 15:00:36,2024-11-21 08:00:36-07:00,2024-11-25 20:03:48,2024-11-25 13:03:48-07:00,Iridium,46.72161,-113.92376,1380,2.6,3D Valid,Nothing Detected,14,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 14:00:35,2024-11-21 07:00:35-07:00,2024-11-25 20:03:55,2024-11-25 13:03:55-07:00,Iridium,46.72204,-113.92369,1455,4,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 13:00:36,2024-11-21 06:00:36-07:00,2024-11-25 20:03:55,2024-11-25 13:03:55-07:00,Iridium,46.72162,-113.92368,1387,2.4,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 12:00:26,2024-11-21 05:00:26-07:00,2024-11-25 20:03:55,2024-11-25 13:03:55-07:00,Iridium,46.72169,-113.92359,1374,4.8,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 11:00:38,2024-11-21 04:00:38-07:00,2024-11-25 20:03:55,2024-11-25 13:03:55-07:00,Iridium,46.72161,-113.92364,1387,2.4,3D Valid,Nothing Detected,14,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 10:00:12,2024-11-21 03:00:12-07:00,2024-11-25 20:04:04,2024-11-25 13:04:04-07:00,Iridium,46.72142,-113.92366,1375,2.2,3D Valid,Nothing Detected,13,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 09:00:38,2024-11-21 02:00:38-07:00,2024-11-25 20:04:04,2024-11-25 13:04:04-07:00,Iridium,46.72158,-113.92369,1379,2.2,3D Valid,Nothing Detected,10,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 08:00:37,2024-11-21 01:00:37-07:00,2024-11-25 20:04:04,2024-11-25 13:04:04-07:00,Iridium,46.72160,-113.92364,1381,2.6,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40908
40908,2024-11-21 07:00:11,2024-11-21 00:00:11-07:00,2024-11-25 20:04:04,2024-11-25 13:04:04-07:00,Iridium,46.72156,-113.92390,1396,2.2,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40908
40908,2024-11-21 06:00:36,2024-11-20 23:00:36-07:00,2024-11-25 20:04:14,2024-11-25 13:04:14-07:00,Iridium,46.72154,-113.92371,1378,4.2,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40908
40908,2024-11-21 05:01:54,2024-11-20 22:01:54-07:00,2024-11-25 20:04:14,2024-11-25 13:04:14-07:00,Iridium,46.72158,-113.92369,1379,5.8,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40908
