Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40891,2020-12-31 00:01:54,2020-12-30 17:01:54-07:00,2021-01-01 23:12:11,2021-01-01 16:12:11-07:00,Iridium,46.72795,-113.99163,1265,8.4,3D Valid,Nothing Detected,23,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 23:01:30,2020-12-30 16:01:30-07:00,2021-01-01 23:12:11,2021-01-01 16:12:11-07:00,Iridium,46.72808,-113.99149,1257,5.6,3D,Nothing Detected,23,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 21:01:03,2020-12-30 14:01:03-07:00,2021-01-01 23:12:19,2021-01-01 16:12:19-07:00,Iridium,46.72799,-113.99162,1272,4,3D Valid,Nothing Detected,23,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 19:00:38,2020-12-30 12:00:38-07:00,2021-01-01 23:12:19,2021-01-01 16:12:19-07:00,Iridium,46.72799,-113.99162,1272,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 18:00:20,2020-12-30 11:00:20-07:00,2021-01-01 23:12:19,2021-01-01 16:12:19-07:00,Iridium,46.72794,-113.99164,1261,4.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 17:00:38,2020-12-30 10:00:38-07:00,2021-04-09 08:03:05,2021-04-09 02:03:05-06:00,Iridium,46.72802,-113.99160,1275,2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 16:00:41,2020-12-30 09:00:41-07:00,2020-12-30 16:01:07,2020-12-30 09:01:07-07:00,Iridium,46.72780,-113.99169,1247,4.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 15:00:38,2020-12-30 08:00:38-07:00,2020-12-30 16:01:07,2020-12-30 09:01:07-07:00,Iridium,46.72799,-113.99163,1269,4.6,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 14:00:17,2020-12-30 07:00:17-07:00,2020-12-30 16:01:07,2020-12-30 09:01:07-07:00,Iridium,46.72788,-113.99170,1283,3.4,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 13:00:35,2020-12-30 06:00:35-07:00,2020-12-30 16:01:07,2020-12-30 09:01:07-07:00,Iridium,46.72803,-113.99163,1281,3.4,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 12:00:56,2020-12-30 05:00:56-07:00,2020-12-30 16:01:16,2020-12-30 09:01:16-07:00,Iridium,46.72800,-113.99160,1273,3.4,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 11:00:57,2020-12-30 04:00:57-07:00,2020-12-30 16:01:16,2020-12-30 09:01:16-07:00,Iridium,46.72810,-113.99152,1280,3,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 10:00:38,2020-12-30 03:00:38-07:00,2020-12-30 16:01:16,2020-12-30 09:01:16-07:00,Iridium,46.72787,-113.99155,1246,9.2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 09:00:38,2020-12-30 02:00:38-07:00,2020-12-30 16:01:16,2020-12-30 09:01:16-07:00,Iridium,46.72800,-113.99162,1274,2.2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-30 08:01:30,2020-12-30 01:01:30-07:00,2020-12-30 16:01:30,2020-12-30 09:01:30-07:00,Iridium,46.72803,-113.99161,1295,6.2,3D Valid,Nothing Detected,19,3.28,3.6,Animal with Collar 40891
40891,2020-12-30 07:00:57,2020-12-30 00:00:57-07:00,2020-12-30 16:01:30,2020-12-30 09:01:30-07:00,Iridium,46.72786,-113.99161,1253,3.2,3D Valid,Nothing Detected,16,3.28,3.6,Animal with Collar 40891
40891,2020-12-30 06:01:02,2020-12-29 23:01:02-07:00,2020-12-30 16:01:30,2020-12-30 09:01:30-07:00,Iridium,46.72783,-113.99168,1269,5.6,3D Valid,Nothing Detected,16,3.28,3.6,Animal with Collar 40891
40891,2020-12-30 03:03:01,2020-12-29 20:03:01-07:00,2020-12-30 16:01:53,2020-12-30 09:01:53-07:00,Iridium,46.72784,-113.99167,1257,11.6,3D,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2020-12-28 02:05:08,2020-12-27 19:05:08-07:00,2020-12-30 16:02:03,2020-12-30 09:02:03-07:00,Iridium,46.72802,-113.99161,1272,8.2,3D Valid,Nothing Detected,24,3.28,3.6,Animal with Collar 40891
40891,2020-12-26 01:01:36,2020-12-25 18:01:36-07:00,2020-12-30 16:02:03,2020-12-30 09:02:03-07:00,Iridium,46.72796,-113.99162,1269,3.6,3D Valid,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2020-12-26 00:00:38,2020-12-25 17:00:38-07:00,2021-04-09 08:03:05,2021-04-09 02:03:05-06:00,Iridium,46.72817,-113.99161,1297,8.6,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 23:00:15,2020-12-25 16:00:15-07:00,2021-04-09 08:03:05,2021-04-09 02:03:05-06:00,Iridium,46.72796,-113.99149,1272,4.6,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 22:00:41,2020-12-25 15:00:41-07:00,2021-04-09 08:03:13,2021-04-09 02:03:13-06:00,Iridium,46.72796,-113.99161,1272,4.4,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 21:01:38,2020-12-25 14:01:38-07:00,2021-04-09 08:03:13,2021-04-09 02:03:13-06:00,Iridium,46.72799,-113.99159,1274,3,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 19:01:44,2020-12-25 12:01:44-07:00,2021-04-09 08:03:13,2021-04-09 02:03:13-06:00,Iridium,46.72792,-113.99167,1260,8.4,3D,Nothing Detected,15,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 18:00:55,2020-12-25 11:00:55-07:00,2021-04-09 08:03:22,2021-04-09 02:03:22-06:00,Iridium,46.72789,-113.99170,1255,4,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 17:00:42,2020-12-25 10:00:42-07:00,2021-04-09 08:03:22,2021-04-09 02:03:22-06:00,Iridium,46.72799,-113.99157,1264,2.8,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 16:02:59,2020-12-25 09:02:59-07:00,2021-04-10 12:01:52,2021-04-10 06:01:52-06:00,Iridium,46.72803,-113.99160,1276,4.8,3D Valid,Nothing Detected,25,3.28,3.6,Animal with Collar 40891
40891,2020-12-25 15:00:56,2020-12-25 08:00:56-07:00,2021-04-10 12:01:52,2021-04-10 06:01:52-06:00,Iridium,46.72805,-113.99156,1274,3.8,3D Valid,Nothing Detected,25,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 14:00:20,2020-12-25 07:00:20-07:00,2021-04-10 12:01:52,2021-04-10 06:01:52-06:00,Iridium,46.72801,-113.99166,1264,2.2,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 13:01:09,2020-12-25 06:01:09-07:00,2021-04-10 12:01:52,2021-04-10 06:01:52-06:00,Iridium,46.72799,-113.99161,1269,4,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 11:01:22,2020-12-25 04:01:22-07:00,2021-04-10 12:02:16,2021-04-10 06:02:16-06:00,Iridium,46.72805,-113.99171,1287,9.2,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 10:00:36,2020-12-25 03:00:36-07:00,2021-04-10 12:02:16,2021-04-10 06:02:16-06:00,Iridium,46.72800,-113.99160,1273,2.6,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 09:02:05,2020-12-25 02:02:05-07:00,2021-04-10 12:02:16,2021-04-10 06:02:16-06:00,Iridium,46.72798,-113.99161,1267,2.8,3D Valid,Nothing Detected,24,3.28,3.6,Animal with Collar 40891
40891,2020-12-25 07:03:00,2020-12-25 00:03:00-07:00,2021-04-10 16:00:50,2021-04-10 10:00:50-06:00,Iridium,46.72798,-113.99161,1267,4.4,3D,Nothing Detected,23,3.28,3.6,Animal with Collar 40891
40891,2020-12-25 06:03:00,2020-12-24 23:03:00-07:00,2021-04-10 16:00:50,2021-04-10 10:00:50-06:00,Iridium,46.72783,-113.99164,1264,12,3D,Nothing Detected,23,3.28,3.6,Animal with Collar 40891
40891,2020-12-25 05:01:06,2020-12-24 22:01:06-07:00,2021-04-10 16:00:50,2021-04-10 10:00:50-06:00,Iridium,46.72793,-113.99114,1306,3,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 04:00:38,2020-12-24 21:00:38-07:00,2021-04-10 16:01:11,2021-04-10 10:01:11-06:00,Iridium,46.72798,-113.99159,1264,3.6,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 03:00:38,2020-12-24 20:00:38-07:00,2021-04-10 16:01:11,2021-04-10 10:01:11-06:00,Iridium,46.72798,-113.99158,1276,3.6,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 02:03:00,2020-12-24 19:03:00-07:00,2021-04-10 16:01:11,2021-04-10 10:01:11-06:00,Iridium,46.72800,-113.99161,1276,3.4,3D,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2020-12-25 01:00:38,2020-12-24 18:00:38-07:00,2021-04-10 16:01:11,2021-04-10 10:01:11-06:00,Iridium,46.72795,-113.99164,1262,3.4,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40891
40891,2020-12-25 00:02:13,2020-12-24 17:02:13-07:00,2021-04-10 16:01:23,2021-04-10 10:01:23-06:00,Iridium,46.72810,-113.99156,1279,2.2,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 20:00:39,2020-12-24 13:00:39-07:00,2020-12-24 20:02:04,2020-12-24 13:02:04-07:00,Iridium,46.72803,-113.99155,1287,3,3D Valid,Mortality No Radius,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 19:01:08,2020-12-24 12:01:08-07:00,2020-12-24 20:02:04,2020-12-24 13:02:04-07:00,Iridium,46.72801,-113.99163,1278,3,3D Valid,Mortality No Radius,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 18:00:36,2020-12-24 11:00:36-07:00,2020-12-24 20:02:04,2020-12-24 13:02:04-07:00,Iridium,46.72802,-113.99158,1280,3,3D Valid,Mortality No Radius,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 17:00:38,2020-12-24 10:00:38-07:00,2020-12-24 20:02:04,2020-12-24 13:02:04-07:00,Iridium,46.72800,-113.99160,1273,2.8,3D Valid,Mortality No Radius,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 15:00:38,2020-12-24 08:00:38-07:00,2021-04-10 16:01:42,2021-04-10 10:01:42-06:00,Iridium,46.72796,-113.99163,1273,4.2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 14:00:38,2020-12-24 07:00:38-07:00,2021-04-10 16:01:42,2021-04-10 10:01:42-06:00,Iridium,46.72800,-113.99163,1271,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 13:00:24,2020-12-24 06:00:24-07:00,2021-04-10 16:01:42,2021-04-10 10:01:42-06:00,Iridium,46.72797,-113.99163,1261,7.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 12:01:24,2020-12-24 05:01:24-07:00,2021-04-10 16:02:06,2021-04-10 10:02:06-06:00,Iridium,46.72798,-113.99165,1273,3.2,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 11:02:06,2020-12-24 04:02:06-07:00,2021-04-10 16:02:06,2021-04-10 10:02:06-06:00,Iridium,46.72802,-113.99165,1274,3,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 10:00:39,2020-12-24 03:00:39-07:00,2021-04-10 16:02:06,2021-04-10 10:02:06-06:00,Iridium,46.72796,-113.99159,1261,3.4,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 08:03:00,2020-12-24 01:03:00-07:00,2021-04-10 16:02:15,2021-04-10 10:02:15-06:00,Iridium,46.72795,-113.99162,1268,4,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 06:02:58,2020-12-23 23:02:58-07:00,2021-04-10 16:02:15,2021-04-10 10:02:15-06:00,Iridium,46.72791,-113.99162,1269,13,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 05:00:42,2020-12-23 22:00:42-07:00,2021-04-10 16:02:15,2021-04-10 10:02:15-06:00,Iridium,46.72800,-113.99159,1266,2.8,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2020-12-24 03:01:49,2020-12-23 20:01:49-07:00,2021-04-10 20:02:24,2021-04-10 14:02:24-06:00,Iridium,46.72800,-113.99158,1278,7.2,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 01:03:00,2020-12-23 18:03:00-07:00,2021-04-10 20:02:24,2021-04-10 14:02:24-06:00,Iridium,46.72794,-113.99163,1264,11.8,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-24 00:01:15,2020-12-23 17:01:15-07:00,2021-04-11 04:03:04,2021-04-10 22:03:04-06:00,Iridium,46.72786,-113.99165,1255,2.4,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 23:03:00,2020-12-23 16:03:00-07:00,2021-04-11 04:03:04,2021-04-10 22:03:04-06:00,Iridium,46.72805,-113.99157,1293,10.4,3D,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2020-12-23 22:03:00,2020-12-23 15:03:00-07:00,2021-04-11 04:03:04,2021-04-10 22:03:04-06:00,Iridium,46.72794,-113.99162,1266,10,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-23 20:01:00,2020-12-23 13:01:00-07:00,2021-04-11 04:03:11,2021-04-10 22:03:11-06:00,Iridium,46.72797,-113.99152,1274,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 17:03:00,2020-12-23 10:03:00-07:00,2021-04-11 04:03:11,2021-04-10 22:03:11-06:00,Iridium,46.72801,-113.99164,1270,2.4,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-23 15:01:07,2020-12-23 08:01:07-07:00,2021-04-11 04:03:19,2021-04-10 22:03:19-06:00,Iridium,46.72804,-113.99161,1272,4.2,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 14:00:36,2020-12-23 07:00:36-07:00,2021-04-11 04:03:19,2021-04-10 22:03:19-06:00,Iridium,46.72798,-113.99161,1273,2.2,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 13:01:54,2020-12-23 06:01:54-07:00,2021-04-11 04:03:19,2021-04-10 22:03:19-06:00,Iridium,46.72806,-113.99163,1284,8,3D Valid,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2020-12-23 11:02:00,2020-12-23 04:02:00-07:00,2021-04-11 04:03:27,2021-04-10 22:03:27-06:00,Iridium,46.72800,-113.99161,1276,3,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2020-12-23 10:00:38,2020-12-23 03:00:38-07:00,2021-04-11 04:03:27,2021-04-10 22:03:27-06:00,Iridium,46.72832,-113.99168,1273,3.4,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 09:00:41,2020-12-23 02:00:41-07:00,2021-04-11 04:03:27,2021-04-10 22:03:27-06:00,Iridium,46.72806,-113.99167,1283,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2020-12-23 08:01:24,2020-12-23 01:01:24-07:00,2021-04-11 04:03:38,2021-04-10 22:03:38-06:00,Iridium,46.72795,-113.99168,1254,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
