Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40884,2024-01-01 00:00:40,2023-12-31 17:00:40-07:00,2024-01-02 00:42:22,2024-01-01 17:42:22-07:00,Iridium,46.706207,-113.979225,1786,2.6,3D Validated,Nothing Detected,13,3.28,3.52,Animal with Collar 40884
40884,2023-12-31 23:00:39,2023-12-31 16:00:39-07:00,2024-01-02 00:42:22,2024-01-01 17:42:22-07:00,Iridium,46.706192,-113.9792,1761,5.4,3D Validated,Nothing Detected,15,3.28,3.52,Animal with Collar 40884
40884,2023-12-31 22:00:38,2023-12-31 15:00:38-07:00,2024-01-02 00:42:22,2024-01-01 17:42:22-07:00,Iridium,46.70608,-113.97914,1764,7,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 21:00:39,2023-12-31 14:00:39-07:00,2024-01-02 00:42:35,2024-01-01 17:42:35-07:00,Iridium,46.70639,-113.97923,1734,4,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 20:01:00,2023-12-31 13:01:00-07:00,2024-01-02 00:42:35,2024-01-01 17:42:35-07:00,Iridium,46.706158,-113.97899,1775,2.2,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 19:00:46,2023-12-31 12:00:46-07:00,2024-01-02 00:42:35,2024-01-01 17:42:35-07:00,Iridium,46.706253,-113.97903,1785,3.8,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 18:00:54,2023-12-31 11:00:54-07:00,2024-01-02 00:42:35,2024-01-01 17:42:35-07:00,Iridium,46.70617,-113.979065,1758,2.8,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 17:00:24,2023-12-31 10:00:24-07:00,2024-01-02 00:42:48,2024-01-01 17:42:48-07:00,Iridium,46.70625,-113.97935,1733,3.8,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 16:01:24,2023-12-31 09:01:24-07:00,2024-01-02 00:42:48,2024-01-01 17:42:48-07:00,Iridium,46.706192,-113.97906,1763,5.4,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 15:00:23,2023-12-31 08:00:23-07:00,2024-01-02 00:42:48,2024-01-01 17:42:48-07:00,Iridium,46.70616,-113.97902,1761,3,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40884
40884,2023-12-31 14:01:02,2023-12-31 07:01:02-07:00,2024-01-02 00:42:48,2024-01-01 17:42:48-07:00,Iridium,46.70621,-113.97902,1767,2.8,3D Validated,Nothing Detected,11,3.28,3.52,Animal with Collar 40884
