Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40884,2024-06-07 16:00:40,2024-06-07 10:00:40-06:00,2024-06-07 16:01:15,2024-06-07 10:01:15-06:00,Iridium,46.67012,-113.90834,1543,3,3D Valid,Nothing Detected,31,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 15:00:09,2024-06-07 09:00:09-06:00,2024-06-07 16:01:15,2024-06-07 10:01:15-06:00,Iridium,46.66552,-113.90950,1514,2.8,3D Valid,Nothing Detected,28,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 14:00:38,2024-06-07 08:00:38-06:00,2024-06-07 16:01:15,2024-06-07 10:01:15-06:00,Iridium,46.66048,-113.91363,1391,3.6,3D Valid,Nothing Detected,24,3.2,3.52,Animal with Collar 40884
40884,2024-06-07 13:01:38,2024-06-07 07:01:38-06:00,2024-06-07 16:01:15,2024-06-07 10:01:15-06:00,Iridium,46.65119,-113.91488,1291,5,3D Valid,Nothing Detected,22,3.2,3.52,Animal with Collar 40884
40884,2024-06-07 11:00:36,2024-06-07 05:00:36-06:00,2024-06-07 11:01:02,2024-06-07 05:01:02-06:00,Iridium,46.63586,-113.90163,1517,1.8,3D Valid,Nothing Detected,21,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 09:01:10,2024-06-07 03:01:10-06:00,2024-06-07 11:01:02,2024-06-07 05:01:02-06:00,Iridium,46.63488,-113.89935,1602,5.4,3D Valid,Nothing Detected,23,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 08:01:38,2024-06-07 02:01:38-06:00,2024-06-07 11:01:02,2024-06-07 05:01:02-06:00,Iridium,46.63492,-113.90004,1535,4.8,3D Valid,Nothing Detected,24,3.2,3.52,Animal with Collar 40884
40884,2024-06-07 07:00:38,2024-06-07 01:00:38-06:00,2024-06-07 11:01:11,2024-06-07 05:01:11-06:00,Iridium,46.63485,-113.89970,1520,2.2,3D Valid,Nothing Detected,24,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 06:03:00,2024-06-07 00:03:00-06:00,2024-06-07 11:01:11,2024-06-07 05:01:11-06:00,Iridium,46.63492,-113.90013,1511,3.6,3D,Nothing Detected,25,3.2,3.52,Animal with Collar 40884
40884,2024-06-07 05:00:41,2024-06-06 23:00:41-06:00,2024-06-07 11:01:11,2024-06-07 05:01:11-06:00,Iridium,46.63502,-113.90014,1500,2.8,3D Valid,Nothing Detected,24,3.28,3.52,Animal with Collar 40884
40884,2024-06-07 04:00:36,2024-06-06 22:00:36-06:00,2024-06-07 11:01:11,2024-06-07 05:01:11-06:00,Iridium,46.63284,-113.90379,1440,2.6,3D Valid,Nothing Detected,24,3.2,3.52,Animal with Collar 40884
