Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40892,2020-10-30 15:00:10,2020-10-30 9:00:10,2021-04-21 17:41:15,2021-04-21 11:41:15-06:00,Iridium,46.67773,-114.02775,997,3.2,3D Validated,Nothing Detected,0,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 14:01:00,2020-10-30 8:01:00,2021-04-21 17:41:15,2021-04-21 11:41:15-06:00,Iridium,46.7508,-114.08298,975,2.4,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40892
40892,2020-10-30 13:00:40,2020-10-30 7:00:40,2021-04-21 17:41:15,2021-04-21 11:41:15-06:00,Iridium,46.89393,-113.95587,1105,2,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 11:01:01,2020-10-30 5:01:01,2021-04-21 17:41:32,2021-04-21 11:41:32-06:00,Iridium,46.89395,-113.95593,1106,2,3D Validated,Nothing Detected,13,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 10:00:53,2020-10-30 4:00:53,2021-04-21 17:41:32,2021-04-21 11:41:32-06:00,Iridium,46.89352,-113.95564,1150,6,3D Validated,Nothing Detected,13,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 9:00:41,2020-10-30 3:00:41,2021-04-21 17:41:32,2021-04-21 11:41:32-06:00,Iridium,46.89391,-113.95576,1096,2.6,3D Validated,Nothing Detected,13,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 4:00:54,2020-10-29 22:00:54,2021-04-21 17:41:48,2021-04-21 11:41:48-06:00,Iridium,46.89394,-113.95573,1090,3.4,3D Validated,Nothing Detected,15,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 1:01:08,2020-10-29 19:01:08,2021-04-21 17:41:48,2021-04-21 11:41:48-06:00,Iridium,46.89393,-113.9557,1089,3,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40892
40892,2020-10-30 0:01:38,2020-10-29 18:01:38,2021-04-21 17:41:58,2021-04-21 11:41:58-06:00,Iridium,46.89392,-113.95584,1117,3,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40892
40892,2020-10-29 23:01:36,2020-10-29 17:01:36,2021-04-21 17:41:58,2021-04-21 11:41:58-06:00,Iridium,46.89397,-113.95563,1084,2.6,3D Validated,Nothing Detected,17,3.28,3.6,Animal with Collar 40892
40892,2020-10-29 21:00:39,2020-10-29 15:00:39,2020-10-29 21:01:00,2020-10-29 15:01:00-06:00,Iridium,46.98933,-114.40987,919,3.2,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40892
40892,2020-10-29 20:00:19,2020-10-29 14:00:19,2020-10-29 21:01:00,2020-10-29 15:01:00-06:00,Iridium,46.82558,-114.41002,1265,6.6,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40892
40892,2020-10-29 19:00:10,2020-10-29 13:00:10,2020-10-29 21:01:00,2020-10-29 15:01:00-06:00,Iridium,46.67758,-114.02758,1035,2.2,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40892
40892,2020-10-29 18:00:40,2020-10-29 12:00:40,2020-10-29 21:01:00,2020-10-29 15:01:00-06:00,Iridium,46.70947,-114.00448,1365,2,3D Validated,Nothing Detected,5,3.28,3.6,Animal with Collar 40892
40892,2020-10-29 17:00:17,2020-10-29 11:00:17,2021-04-21 17:41:58,2021-04-21 11:41:58-06:00,Iridium,46.73061,-113.98883,1255,3.6,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40892
40892,2020-10-29 16:00:37,2020-10-29 10:00:37,2021-04-21 17:42:22,2021-04-21 11:42:22-06:00,Iridium,46.73132,-113.98782,1314,1.4,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40892
