Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40884,2020-11-08 6:00:38,2020-11-08 0:00:38,2020-11-08 10:05:12,2020-11-08 03:05:12-07:00,Iridium,46.86512,-113.93092,1170,2.2,3D Validated,Mortality No Radius,0,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 5:00:22,2020-11-07 23:00:22,2020-11-08 10:05:12,2020-11-08 03:05:12-07:00,Iridium,46.8651,-113.931,1175,2.8,3D Validated,Mortality No Radius,0,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 4:00:38,2020-11-07 22:00:38,2020-11-08 10:05:12,2020-11-08 03:05:12-07:00,Iridium,46.86525,-113.93085,1179,3.6,3D Validated,Mortality No Radius,0,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 3:00:34,2020-11-07 21:00:34,2020-11-08 10:05:12,2020-11-08 03:05:12-07:00,Iridium,46.86517,-113.93092,1176,2,3D Validated,Mortality No Radius,1,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 2:00:36,2020-11-07 20:00:36,2020-11-08 10:05:23,2020-11-08 03:05:23-07:00,Iridium,46.86484,-113.93091,1123,2.2,3D Validated,Mortality No Radius,2,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 1:00:38,2020-11-07 19:00:38,2020-11-08 10:05:23,2020-11-08 03:05:23-07:00,Iridium,46.86498,-113.93095,1152,3.8,3D Validated,Mortality No Radius,3,3.2,3.52,Animal with Collar 40884
40884,2020-11-08 0:00:42,2020-11-07 18:00:42,2020-11-08 10:05:23,2020-11-08 03:05:23-07:00,Iridium,46.86503,-113.93091,1161,3.8,3D Validated,Mortality No Radius,4,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 23:00:25,2020-11-07 17:00:25,2020-11-08 10:05:23,2020-11-08 03:05:23-07:00,Iridium,46.86507,-113.93092,1157,2.6,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 22:00:38,2020-11-07 16:00:38,2020-11-09 10:02:36,2020-11-09 03:02:36-07:00,Iridium,46.86505,-113.93092,1161,4.8,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 21:02:45,2020-11-07 15:02:45,2020-11-09 10:02:36,2020-11-09 03:02:36-07:00,Iridium,46.86499,-113.93089,1162,3.6,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 20:00:28,2020-11-07 14:00:28,2020-11-09 10:02:36,2020-11-09 03:02:36-07:00,Iridium,46.86503,-113.93092,1166,2.2,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 19:00:38,2020-11-07 13:00:38,2020-11-09 10:02:36,2020-11-09 03:02:36-07:00,Iridium,46.86498,-113.93093,1163,3.6,3D Validated,Mortality No Radius,4,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 18:00:35,2020-11-07 12:00:35,2020-11-09 10:02:59,2020-11-09 03:02:59-07:00,Iridium,46.86512,-113.93093,1145,3,3D Validated,Mortality No Radius,3,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 17:00:18,2020-11-07 11:00:18,2020-11-09 10:02:59,2020-11-09 03:02:59-07:00,Iridium,46.86503,-113.93092,1158,2.2,3D Validated,Mortality No Radius,3,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 16:00:38,2020-11-07 10:00:38,2020-11-09 10:02:59,2020-11-09 03:02:59-07:00,Iridium,46.86509,-113.93096,1168,3.6,3D Validated,Mortality No Radius,3,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 15:01:21,2020-11-07 9:01:21,2020-11-09 10:02:59,2020-11-09 03:02:59-07:00,Iridium,46.86518,-113.93095,1185,2.2,3D Validated,Mortality No Radius,2,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 14:00:21,2020-11-07 8:00:21,2020-11-09 10:03:08,2020-11-09 03:03:08-07:00,Iridium,46.86498,-113.93089,1152,3.2,3D Validated,Mortality No Radius,2,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 13:01:20,2020-11-07 7:01:20,2020-11-09 10:03:08,2020-11-09 03:03:08-07:00,Iridium,46.86503,-113.93092,1152,3.2,3D Validated,Mortality No Radius,2,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 12:01:01,2020-11-07 6:01:01,2020-11-09 10:03:08,2020-11-09 03:03:08-07:00,Iridium,46.86512,-113.93096,1165,3,3D Validated,Mortality No Radius,1,3.2,3.52,Animal with Collar 40884
40884,2020-11-07 11:00:38,2020-11-07 5:00:38,2020-11-09 10:03:08,2020-11-09 03:03:08-07:00,Iridium,46.86499,-113.93092,1151,4.8,3D Validated,Mortality No Radius,1,3.2,3.52,Animal with Collar 40884
