Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40888,2021-12-28 0:02:47,2021-12-27 18:02:47,2022-04-10 9:03:42,2022-04-10 03:03:42-06:00,Iridium,46.72503,-113.96574,1398,9,3D,Nothing Detected,4,3.36,3.68,Animal with Collar 40888
40888,2021-12-27 23:01:15,2021-12-27 17:01:15,2022-04-10 9:03:42,2022-04-10 03:03:42-06:00,Iridium,46.72518,-113.96559,1415,4.2,3D Validated,Nothing Detected,4,3.36,3.68,Animal with Collar 40888
40888,2021-12-27 22:00:36,2021-12-27 16:00:36,2022-04-10 9:03:42,2022-04-10 03:03:42-06:00,Iridium,46.72509,-113.96562,1413,3.8,3D Validated,Nothing Detected,3,3.44,3.68,Animal with Collar 40888
40888,2021-12-27 21:01:23,2021-12-27 15:01:23,2022-04-10 9:03:42,2022-04-10 03:03:42-06:00,Iridium,46.72516,-113.96562,1420,3.2,3D Validated,Nothing Detected,3,3.36,3.68,Animal with Collar 40888
40888,2021-12-27 19:03:00,2021-12-27 13:03:00,2022-04-10 9:03:54,2022-04-10 03:03:54-06:00,Iridium,46.72506,-113.96551,1406,10.4,3D,Nothing Detected,6,3.36,3.68,Animal with Collar 40888
40888,2021-12-27 17:03:00,2021-12-27 11:03:00,2022-04-10 9:03:54,2022-04-10 03:03:54-06:00,Iridium,46.72504,-113.96551,1433,12.6,3D,Nothing Detected,5,3.36,3.68,Animal with Collar 40888
40888,2021-12-27 16:00:39,2021-12-27 10:00:39,2022-04-10 9:04:16,2022-04-10 03:04:16-06:00,Iridium,46.72512,-113.96562,1416,4.8,3D Validated,Nothing Detected,6,3.44,3.68,Animal with Collar 40888
40888,2021-12-27 15:02:11,2021-12-27 9:02:11,2022-04-10 9:04:16,2022-04-10 03:04:16-06:00,Iridium,46.72521,-113.96557,1417,7.4,3D,Nothing Detected,5,3.36,3.68,Animal with Collar 40888
40888,2021-12-25 21:01:36,2021-12-25 15:01:36,2022-04-10 21:02:44,2022-04-10 15:02:44-06:00,Iridium,46.72504,-113.96558,1402,3,3D Validated,Nothing Detected,22,3.36,3.68,Animal with Collar 40888
40888,2021-12-25 10:02:57,2021-12-25 4:02:57,2022-04-13 1:02:14,2022-04-12 19:02:14-06:00,Iridium,46.72501,-113.96531,1394,17.4,3D,Nothing Detected,9,3.36,3.68,Animal with Collar 40888
