Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40908,2023-06-01 05:00:18,2023-05-31 23:00:18-06:00,2023-06-01 15:01:08,2023-06-01 09:01:08-06:00,Iridium,46.859024,-114.05949,1000,3.6,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40908
40908,2023-06-01 04:00:38,2023-05-31 22:00:38-06:00,2023-06-01 15:01:08,2023-06-01 09:01:08-06:00,Iridium,46.85895,-114.059395,980,2.4,3D Validated,Nothing Detected,18,3.28,3.6,Animal with Collar 40908
40908,2023-06-01 03:00:40,2023-05-31 21:00:40-06:00,2023-06-01 15:01:15,2023-06-01 09:01:15-06:00,Iridium,46.858868,-114.05946,1002,3.2,3D Validated,Nothing Detected,18,3.28,3.6,Animal with Collar 40908
40908,2023-06-01 02:00:24,2023-05-31 20:00:24-06:00,2023-06-01 15:01:15,2023-06-01 09:01:15-06:00,Iridium,46.858925,-114.05942,955,4.2,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40908
40908,2023-06-01 01:00:36,2023-05-31 19:00:36-06:00,2023-06-01 15:01:15,2023-06-01 09:01:15-06:00,Iridium,46.859077,-114.05937,978,2.4,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40908
40908,2023-06-01 00:00:46,2023-05-31 18:00:46-06:00,2023-06-01 15:01:15,2023-06-01 09:01:15-06:00,Iridium,46.858994,-114.05933,956,3,3D Validated,Nothing Detected,19,3.28,3.6,Animal with Collar 40908
40908,2023-05-31 23:00:36,2023-05-31 17:00:36-06:00,2023-06-01 15:01:25,2023-06-01 09:01:25-06:00,Iridium,46.85893,-114.05947,971,1.8,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40908
40908,2023-05-31 22:01:06,2023-05-31 16:01:06-06:00,2023-06-01 15:01:25,2023-06-01 09:01:25-06:00,Iridium,46.85897,-114.05945,975,3.4,3D Validated,Nothing Detected,20,3.28,3.6,Animal with Collar 40908
40908,2023-05-31 21:00:42,2023-05-31 15:00:42-06:00,2023-06-01 15:01:25,2023-06-01 09:01:25-06:00,Iridium,46.858986,-114.059364,976,5.6,3D Validated,Nothing Detected,20,3.28,3.6,Animal with Collar 40908
40908,2023-05-31 20:00:38,2023-05-31 14:00:38-06:00,2023-06-01 15:01:25,2023-06-01 09:01:25-06:00,Iridium,46.859085,-114.059395,922,5.4,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40908
