Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40892,2023-03-25 6:00:38,2023-03-25 0:00:38,2023-03-25 6:01:05,2023-03-25 00:01:05-06:00,Iridium,46.23846,-113.97822,1672,3.4,3D Validated,Nothing Detected,5,3.44,3.68,Animal with Collar 40892
40892,2023-03-25 5:00:38,2023-03-24 23:00:38,2023-03-25 6:01:05,2023-03-25 00:01:05-06:00,Iridium,46.23845,-113.97819,1673,2.4,3D Validated,Nothing Detected,4,3.44,3.68,Animal with Collar 40892
40892,2023-03-25 4:00:12,2023-03-24 22:00:12,2023-03-25 6:01:05,2023-03-25 00:01:05-06:00,Iridium,46.23847,-113.97824,1674,3.2,3D Validated,Nothing Detected,5,3.44,3.68,Animal with Collar 40892
40892,2023-03-25 3:00:38,2023-03-24 21:00:38,2023-03-25 6:01:05,2023-03-25 00:01:05-06:00,Iridium,46.23843,-113.97823,1666,3.4,3D Validated,Nothing Detected,5,3.44,3.68,Animal with Collar 40892
40892,2023-03-25 2:00:38,2023-03-24 20:00:38,2023-03-25 2:01:04,2023-03-24 20:01:04-06:00,Iridium,46.2385,-113.97819,1678,2.2,3D Validated,Nothing Detected,8,3.36,3.68,Animal with Collar 40892
40892,2023-03-25 1:00:11,2023-03-24 19:00:11,2023-03-25 2:01:04,2023-03-24 20:01:04-06:00,Iridium,46.2385,-113.97819,1678,3.4,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40892
40892,2023-03-25 0:00:40,2023-03-24 18:00:40,2023-03-25 2:01:04,2023-03-24 20:01:04-06:00,Iridium,46.23846,-113.97819,1680,2.6,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40892
40892,2023-03-24 23:00:38,2023-03-24 17:00:38,2023-03-25 2:01:04,2023-03-24 20:01:04-06:00,Iridium,46.23818,-113.97758,1680,4,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40892
40892,2023-03-24 22:00:40,2023-03-24 16:00:40,2023-03-25 2:01:14,2023-03-24 20:01:14-06:00,Iridium,46.23814,-113.97858,1700,3.6,3D Validated,Nothing Detected,8,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 21:00:38,2023-03-24 15:00:38,2023-03-25 2:01:14,2023-03-24 20:01:14-06:00,Iridium,46.23785,-113.97861,1709,3,3D Validated,Nothing Detected,6,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 20:00:40,2023-03-24 14:00:40,2023-03-25 2:01:14,2023-03-24 20:01:14-06:00,Iridium,46.23795,-113.97855,1701,1.8,3D Validated,Nothing Detected,6,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 19:00:27,2023-03-24 13:00:27,2023-03-25 2:01:14,2023-03-24 20:01:14-06:00,Iridium,46.23846,-113.97837,1597,3.6,3D Validated,Nothing Detected,5,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 18:00:38,2023-03-24 12:00:38,2023-03-25 2:01:30,2023-03-24 20:01:30-06:00,Iridium,46.23798,-113.97861,1712,2.6,3D Validated,Nothing Detected,5,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 17:00:40,2023-03-24 11:00:40,2023-03-25 2:01:30,2023-03-24 20:01:30-06:00,Iridium,46.23793,-113.97862,1694,4.8,3D Validated,Nothing Detected,9,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 16:00:39,2023-03-24 10:00:39,2023-03-25 2:01:30,2023-03-24 20:01:30-06:00,Iridium,46.23795,-113.97851,1704,2.8,3D Validated,Nothing Detected,9,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 15:00:35,2023-03-24 9:00:35,2023-03-25 2:01:30,2023-03-24 20:01:30-06:00,Iridium,46.23801,-113.97858,1701,3,3D Validated,Nothing Detected,6,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 14:01:06,2023-03-24 8:01:06,2023-03-25 6:01:27,2023-03-25 00:01:27-06:00,Iridium,46.2379,-113.97857,1698,4.4,3D Validated,Nothing Detected,7,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 13:00:38,2023-03-24 7:00:38,2023-03-25 6:01:27,2023-03-25 00:01:27-06:00,Iridium,46.23795,-113.97855,1693,3.4,3D Validated,Nothing Detected,6,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 12:00:20,2023-03-24 6:00:20,2023-03-25 6:01:27,2023-03-25 00:01:27-06:00,Iridium,46.23793,-113.97858,1689,4.4,3D Validated,Nothing Detected,8,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 11:00:38,2023-03-24 5:00:38,2023-03-25 6:01:27,2023-03-25 00:01:27-06:00,Iridium,46.23799,-113.97858,1683,2.8,3D Validated,Nothing Detected,8,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 10:00:09,2023-03-24 4:00:09,2023-03-24 10:00:33,2023-03-24 04:00:33-06:00,Iridium,46.23799,-113.97859,1702,3,3D Validated,Nothing Detected,9,3.44,3.68,Animal with Collar 40892
40892,2023-03-24 9:00:36,2023-03-24 3:00:36,2023-03-24 10:00:33,2023-03-24 04:00:33-06:00,Iridium,46.23794,-113.97852,1699,2.6,3D Validated,Nothing Detected,11,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 8:00:38,2023-03-24 2:00:38,2023-03-24 10:00:33,2023-03-24 04:00:33-06:00,Iridium,46.23792,-113.97851,1699,3,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 7:02:42,2023-03-24 1:02:42,2023-03-24 10:00:33,2023-03-24 04:00:33-06:00,Iridium,46.23795,-113.97853,1698,3.4,3D Validated,Nothing Detected,9,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 6:00:13,2023-03-24 0:00:13,2023-03-24 6:01:42,2023-03-24 00:01:42-06:00,Iridium,46.23793,-113.97845,1701,3.6,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 5:00:38,2023-03-23 23:00:38,2023-03-24 6:01:42,2023-03-24 00:01:42-06:00,Iridium,46.23797,-113.97854,1697,3,3D Validated,Nothing Detected,11,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 4:00:38,2023-03-23 22:00:38,2023-03-24 6:01:42,2023-03-24 00:01:42-06:00,Iridium,46.23799,-113.97842,1710,3.2,3D Validated,Nothing Detected,11,3.36,3.68,Animal with Collar 40892
40892,2023-03-24 3:00:10,2023-03-23 21:00:10,2023-03-24 6:01:42,2023-03-24 00:01:42-06:00,Iridium,46.23793,-113.9785,1709,5.2,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40892
40892,2023-03-24 2:00:33,2023-03-23 20:00:33,2023-03-24 2:01:02,2023-03-23 20:01:02-06:00,Iridium,46.23795,-113.9785,1699,2,3D Validated,Nothing Detected,13,3.36,3.6,Animal with Collar 40892
40892,2023-03-24 1:00:11,2023-03-23 19:00:11,2023-03-24 2:01:02,2023-03-23 20:01:02-06:00,Iridium,46.23803,-113.97843,1718,3.2,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40892
40892,2023-03-24 0:00:36,2023-03-23 18:00:36,2023-03-24 2:01:02,2023-03-23 20:01:02-06:00,Iridium,46.238,-113.97855,1699,4.8,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40892
40892,2023-03-23 23:00:35,2023-03-23 17:00:35,2023-03-24 2:01:02,2023-03-23 20:01:02-06:00,Iridium,46.23777,-113.97882,1682,3,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40892
40892,2023-03-23 22:00:54,2023-03-23 16:00:54,2023-03-24 6:01:50,2023-03-24 00:01:50-06:00,Iridium,46.23804,-113.97862,1700,10,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40892
