Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40886,2022-08-13 5:01:40,2022-08-12 23:01:40,2022-08-13 15:02:56,2022-08-13 09:02:56-06:00,Iridium,46.67366,-114.01619,1103,2.2,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40886
40886,2022-08-13 4:01:35,2022-08-12 22:01:35,2022-08-13 15:02:56,2022-08-13 09:02:56-06:00,Iridium,46.67357,-114.01633,1093,2.8,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40886
40886,2022-08-13 3:21:22,2022-08-12 21:21:22,2022-08-13 15:03:15,2022-08-13 09:03:15-06:00,Iridium,46.67351,-114.01636,1107,3.6,3D Validated,Mortality No Radius,20,3.36,3.68,Animal with Collar 40886
40886,2022-08-13 2:49:41,2022-08-12 20:49:41,2022-08-13 15:03:15,2022-08-13 09:03:15-06:00,Iridium,46.67349,-114.01628,1123,2.6,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40886
40886,2022-08-13 2:21:08,2022-08-12 20:21:08,2022-08-13 15:03:15,2022-08-13 09:03:15-06:00,Iridium,46.67347,-114.01633,1117,4,3D Validated,Mortality No Radius,20,3.36,3.68,Animal with Collar 40886
40886,2022-08-13 1:49:40,2022-08-12 19:49:40,2022-08-13 15:03:15,2022-08-13 09:03:15-06:00,Iridium,46.67364,-114.01635,1097,3,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40886
40886,2022-08-13 1:19:45,2022-08-12 19:19:45,2022-08-13 15:03:26,2022-08-13 09:03:26-06:00,Iridium,46.67365,-114.01649,1098,2.6,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40886
40886,2022-08-13 0:49:32,2022-08-12 18:49:32,2022-08-13 15:03:26,2022-08-13 09:03:26-06:00,Iridium,46.67357,-114.01627,1093,2.4,3D Validated,Mortality No Radius,20,3.36,3.68,Animal with Collar 40886
40886,2022-08-13 0:20:05,2022-08-12 18:20:05,2022-08-13 15:03:26,2022-08-13 09:03:26-06:00,Iridium,46.67346,-114.01625,1099,5.4,3D Validated,Mortality No Radius,20,3.36,3.68,Animal with Collar 40886
40886,2022-08-12 23:50:05,2022-08-12 17:50:05,2022-08-13 15:03:26,2022-08-13 09:03:26-06:00,Iridium,46.67359,-114.0164,1107,2.2,3D Validated,Mortality No Radius,21,3.36,3.68,Animal with Collar 40886
