Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89197,2023-09-07 14:14:10,2023-09-07 08:14:10-06:00,2023-09-07 14:14:40,2023-09-07 08:14:40-06:00,Iridium,46.703533,-114.020546,1122,2.4,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 13:44:02,2023-09-07 07:44:02-06:00,2023-09-07 13:46:07,2023-09-07 07:46:07-06:00,Iridium,46.703568,-114.020546,1126,3,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 13:14:02,2023-09-07 07:14:02-06:00,2023-09-07 13:46:07,2023-09-07 07:46:07-06:00,Iridium,46.703583,-114.02056,1116,1.8,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 12:44:02,2023-09-07 06:44:02-06:00,2023-09-07 12:44:28,2023-09-07 06:44:28-06:00,Iridium,46.703564,-114.020546,1132,2.4,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 12:14:30,2023-09-07 06:14:30-06:00,2023-09-07 12:15:13,2023-09-07 06:15:13-06:00,Iridium,46.70358,-114.0205,1125,1.8,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 11:44:16,2023-09-07 05:44:16-06:00,2023-09-07 11:44:55,2023-09-07 05:44:55-06:00,Iridium,46.703568,-114.02045,1137,3.6,3D Validated,Mortality No Radius,7,3.36,3.6,
89197,2023-09-07 11:14:06,2023-09-07 05:14:06-06:00,2023-09-07 11:14:33,2023-09-07 05:14:33-06:00,Iridium,46.70356,-114.02052,1124,4.6,3D Validated,Mortality No Radius,8,3.36,3.6,
89197,2023-09-07 10:44:02,2023-09-07 04:44:02-06:00,2023-09-07 11:14:33,2023-09-07 05:14:33-06:00,Iridium,46.703594,-114.02054,1132,2.2,3D Validated,Mortality No Radius,8,3.36,3.6,
89197,2023-09-07 10:14:01,2023-09-07 04:14:01-06:00,2023-09-07 10:15:59,2023-09-07 04:15:59-06:00,Iridium,46.703556,-114.02052,1130,2.2,3D Validated,Mortality No Radius,9,3.36,3.6,
89197,2023-09-07 09:44:30,2023-09-07 03:44:30-06:00,2023-09-07 09:45:10,2023-09-07 03:45:10-06:00,Iridium,46.703545,-114.020546,1123,2.4,3D Validated,Mortality No Radius,9,3.36,3.6,
89197,2023-09-07 09:14:03,2023-09-07 03:14:03-06:00,2023-09-07 09:45:10,2023-09-07 03:45:10-06:00,Iridium,46.703594,-114.020515,1115,3.2,3D Validated,Mortality No Radius,10,3.44,3.6,
89197,2023-09-07 08:44:16,2023-09-07 02:44:16-06:00,2023-09-07 08:44:49,2023-09-07 02:44:49-06:00,Iridium,46.70359,-114.02044,1126,5.6,3D Validated,Mortality No Radius,9,3.44,3.6,
89197,2023-09-07 08:00:11,2023-09-07 02:00:11-06:00,2023-09-07 08:44:49,2023-09-07 02:44:49-06:00,Iridium,46.703587,-114.020546,1121,3.4,3D Validated,Nothing Detected,9,3.44,3.6,
89197,2023-09-07 07:00:09,2023-09-07 01:00:09-06:00,2023-09-07 08:44:49,2023-09-07 02:44:49-06:00,Iridium,46.703568,-114.02052,1131,1.6,3D Validated,Nothing Detected,12,3.44,3.6,
89197,2023-09-07 06:00:38,2023-09-07 00:00:38-06:00,2023-09-07 08:44:49,2023-09-07 02:44:49-06:00,Iridium,46.703556,-114.02052,1130,1.6,3D Validated,Nothing Detected,11,3.44,3.6,
89197,2023-09-07 05:00:12,2023-09-06 23:00:12-06:00,2023-09-07 05:01:03,2023-09-06 23:01:03-06:00,Iridium,46.703617,-114.020515,1140,4,3D Validated,Nothing Detected,11,3.44,3.6,
89197,2023-09-07 04:00:38,2023-09-06 22:00:38-06:00,2023-09-07 05:01:03,2023-09-06 23:01:03-06:00,Iridium,46.703575,-114.02052,1125,2,3D Validated,Nothing Detected,11,3.44,3.6,
89197,2023-09-07 03:00:10,2023-09-06 21:00:10-06:00,2023-09-07 05:01:03,2023-09-06 23:01:03-06:00,Iridium,46.703625,-114.02045,1150,3.2,3D Validated,Nothing Detected,11,3.44,3.6,
89197,2023-09-07 02:00:37,2023-09-06 20:00:37-06:00,2023-09-07 05:01:03,2023-09-06 23:01:03-06:00,Iridium,46.703556,-114.02052,1130,2.6,3D Validated,Nothing Detected,13,3.44,3.6,
89197,2023-09-07 01:00:10,2023-09-06 19:00:10-06:00,2023-09-07 01:00:44,2023-09-06 19:00:44-06:00,Iridium,46.703568,-114.02052,1131,2.2,3D Validated,Nothing Detected,18,3.44,3.6,
89197,2023-09-07 00:00:38,2023-09-06 18:00:38-06:00,2023-09-07 01:00:44,2023-09-06 19:00:44-06:00,Iridium,46.703556,-114.02052,1130,3.2,3D Validated,Nothing Detected,17,3.44,3.6,
89197,2023-09-06 23:00:11,2023-09-06 17:00:11-06:00,2023-09-07 01:00:44,2023-09-06 19:00:44-06:00,Iridium,46.703598,-114.02051,1131,1.8,3D Validated,Nothing Detected,15,3.44,3.6,
89197,2023-09-06 22:00:38,2023-09-06 16:00:38-06:00,2023-09-07 01:00:44,2023-09-06 19:00:44-06:00,Iridium,46.70359,-114.02054,1138,2.8,3D Validated,Nothing Detected,20,3.36,3.6,
89197,2023-09-06 21:00:11,2023-09-06 15:00:11-06:00,2023-09-06 21:00:39,2023-09-06 15:00:39-06:00,Iridium,46.703587,-114.02053,1124,5.4,3D Validated,Nothing Detected,23,3.36,3.6,
89197,2023-09-06 20:00:36,2023-09-06 14:00:36-06:00,2023-09-06 21:00:39,2023-09-06 15:00:39-06:00,Iridium,46.703545,-114.020515,1131,2.2,3D Validated,Nothing Detected,29,3.36,3.6,
89197,2023-09-06 19:00:10,2023-09-06 13:00:10-06:00,2023-09-06 21:00:39,2023-09-06 15:00:39-06:00,Iridium,46.703583,-114.02052,1133,2,3D Validated,Nothing Detected,25,3.36,3.6,
89197,2023-09-06 18:00:37,2023-09-06 12:00:37-06:00,2023-09-06 21:00:39,2023-09-06 15:00:39-06:00,Iridium,46.703583,-114.02052,1133,2,3D Validated,Nothing Detected,21,3.36,3.6,
89197,2023-09-06 17:00:11,2023-09-06 11:00:11-06:00,2023-09-06 17:01:16,2023-09-06 11:01:16-06:00,Iridium,46.703545,-114.020515,1131,7.4,3D Validated,Nothing Detected,16,3.36,3.6,
89197,2023-09-06 16:00:10,2023-09-06 10:00:10-06:00,2023-09-06 17:01:16,2023-09-06 11:01:16-06:00,Iridium,46.703587,-114.02053,1124,1.6,3D Validated,Nothing Detected,11,3.36,3.6,
89197,2023-09-06 15:00:37,2023-09-06 09:00:37-06:00,2023-09-06 17:01:16,2023-09-06 11:01:16-06:00,Iridium,46.703568,-114.02052,1131,1.8,3D Validated,Nothing Detected,7,3.36,3.6,
89197,2023-09-06 14:00:10,2023-09-06 08:00:10-06:00,2023-09-06 17:01:16,2023-09-06 11:01:16-06:00,Iridium,46.703545,-114.020515,1131,2.4,3D Validated,Nothing Detected,5,3.36,3.6,
89197,2023-09-06 13:00:38,2023-09-06 07:00:38-06:00,2023-09-06 17:01:26,2023-09-06 11:01:26-06:00,Iridium,46.703568,-114.02054,1129,2,3D Validated,Nothing Detected,5,3.44,3.6,
89197,2023-09-06 12:00:11,2023-09-06 06:00:11-06:00,2023-09-06 17:01:26,2023-09-06 11:01:26-06:00,Iridium,46.70356,-114.02052,1124,3.8,3D Validated,Nothing Detected,5,3.44,3.6,
89197,2023-09-06 11:00:10,2023-09-06 05:00:10-06:00,2023-09-06 17:01:26,2023-09-06 11:01:26-06:00,Iridium,46.703575,-114.0205,1131,2,3D Validated,Nothing Detected,6,3.44,3.6,
89197,2023-09-06 10:00:38,2023-09-06 04:00:38-06:00,2023-09-06 17:01:26,2023-09-06 11:01:26-06:00,Iridium,46.703556,-114.02052,1130,1.6,3D Validated,Nothing Detected,6,3.44,3.6,
